,Timestamp,Have you been in a plane?,Have you ever been skydiving,"When you first saw the dress, what was the color?",What's a popular food you don't like?,"When you look at a blue sky, do you see those swirly floaters in your vision? ",Have you ever had a car run out of gas while you were driving it? ,Name the first five animals you can think of,What's the weather like where you are right now?,Which of these can you do reasonably well?,What word can you never seem to spell on the first try? ,Do you eat condiments directly out of the fridge as a snack?,"When you adjust a thermostat that was set by someone else, it's usually because you want the room to be...","What color is the shirt/dress/upper-body-clothing you're wearing right now, if any? ",Do you get colds often? ,Pick a number from 1 to 100,"On a scale of 1 to 10, how good at spelling are you?",Do you know your Myers-Briggs type? ,Do you know your astrological sign? ,How many older siblings do you have? ,How many younger siblings do you have? ,How many twin/triplet/etc. siblings do you have? ,Do you feel sleepy a lot? ,Name a movie star,Do you spend a lot of time in the sun? ,Does broccoli taste bitter to you? ,Do you regularly stay awake much later than you meant to? ,Fill this text box with gibberish by mashing random keyboard keys,"On a scale of 1 to 5, where 1 is terrible and 3 is average, how good a driver do you think you are? ",Do you have any food allergies? ,Have you heard thunder or seen lightning in the past year?,Which do you prefer? ,Pick another number from 1 to 100,"When you think about stuff on the internet, where do you picture it being physically located? Even if you know it's not really how things work, is there a place you imagine websites and social media posts sitting before you look at them? If so, where is it?",Can you roll your tongue?,Can you pick things up with your toes? ,How old are you?,What color are the walls around you right now? ,What kind of cell phone do you have? ,What is the last thing you ate?,Which of these words do you know the meaning of?,"Please type ""cat"" here",Do you usually remember your dreams? ,Do you have strong opinions about text editors?,How do you feel about emoji?,Does it ever snow where you live? ,Do you strongly dislike the taste or texture of any of these things? ,Which of these do you regularly drink,Type five random words,Are you nervous about flying? ,"On a scale of 1 to 5, which number is your favorite? ",Which of these would you consider a sandwich?,Which of these describes you?,Would you say you have a good sense of direction? ,"Have you ever thrown out all your different pairs of socks/underwear, bought a bunch of replacements that were all one kind, and then told all your friends how great it was and how they should do it too? "
610,5/28/2020 11:06:28,Yes,No,White and Gold,Nutella,No,No,"cat, narwhal, duck, goose, bear",Rainy,Tie a sheet bend or bowline,recipe,No,Cooler,Maroon,No,3.0,8.0,Yes,Yes,0,0,0,Yes,Cary Grant,No,No,No,liugjjytdjhg kjufyvhjknrcf jkhbliukjbnm,3.0,Yes,Yes,Chocolate,3.0,IN the computer,Yes,Yes,34,Grey,Android,Naan,"Soliloquy, Stipple, Amiable, Salient, Regolith, Lithe, Hubris, Fleek",cat,Yes,Yes,Positive 😊,Yes,"Beer, Red wine, Tomatoes, Yogurt",Water,cat berry milk list feet,A little,3.0,"Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger",Cat-Person,Yes,No
73,7/12/2018 22:07:12,Yes,"No, but maybe someday.",I don't remember,Tomatoes,"Yes, occasionally",No,"Dog, Elephant, Cat, Mumakil, Dolphin",Sunny,"Tie a sheet bend or bowline, Roller skate, Dive headfirst off a diving board, Ice skate, Ski, Cut vegetables with a knife, Swim, Ride a horse, Change the oil on a car",exercise,Yes,Cooler,Blue and white,No,87.0,10.0,Yes,No,1,2,0,No,Brad Pitt,Yes,No,Yes,sdfan bhaetgui489u5tierjlafkeyhirt t9oj36it jh9 t-gyuherjnav0[aeriof-q34,4.0,No,Yes,Vanilla,87.0,"No, I used to think it was in the air... which in hindsight is ridiculious",Yes,Yes,22,White,Android,A sandwich,"Rife, Soliloquy, Fination, Stipple, Amiable, Salient, Lithe, Hubris",cat,No,Yes,Neutral 😐,Yes,"Carbonation (fizz), Tomatoes","Fruit Juice, Milk, Water",Aeonian Middle Pie Tarts Good,A little,5.0,Sub/Hoagie,Cat-Person,Yes,No
542,2/13/2020 10:38:41,Yes,"No, but maybe someday.",White and Gold,Avocado,I'm not sure what things you mean,No,Elephant giraffe velociraptor horse cat,Dry,"Roller skate, Solve a Rubik's cube, Ice skate, Walk on stilts, Swim",Color,No,Warmer,Grey,No,42.0,7.0,No,No,0,2,0,Yes,Arnold Schwarzenegger,No,Yes,Yes,Mgdkhyigdvdksgsjgwkyxrmggwghwggjkykkjgrmghv nvjhgdxg dxbtehjgddr gr yoghurt. Vbjhfdvbnfhkhgdsdfv. Nhgxdgjj. Nfdddgjk,2.0,No,No,Chocolate,64.0,The same “physical” place heaven “is”,Yes,Yes,15,Whiteish ,Android,A peanut ,"Slickle, Rife, Lithe, Hubris",“cat”,No,No,Negative 😠,No,"Beer, White wine, Carbonation (fizz), Red wine, Coffee","Tea, Water",password correct horse battery staple ,No,1.0,Open faced sandwich,"Dog-Person, Cat-Person, Half-Cat Half-Person",No,No
425,8/28/2019 19:49:04,No,No,A color combination not listed here,flesh; eggs,"Yes, occasionally",No,Dog Cat Dolphin Human Bird,Barely cloudy dusk,"Dive headfirst off a diving board, Walk on stilts, Ski, Cut vegetables with a knife, Swim, Ride a horse",originalyl,No,Warmer,light and dark grey,No,37.0,7.0,Yes,Yes,zero that I am aware of,One,zero (that I am aware of),No,Ginger from Giligan's Island,No,No,Yes,qaeryhsryjk 6i5,3.0,No,Yes,Chocolate,56.0,"Some big warehouse holding many hardrives in Iceland, Greenland, or Northeastern Canada",Yes,Yes,About 6365.3 days,pale pastel yellow,Android,"Two tangerines, including the white stuff","Rife, Stipple, Trephony, Tribution, Regolith, Hubris, Apricity"," ""cat"" here",No,No,Neutral 😐,Yes,"Eggs, Beer, Tomatoes","Caffeinated Soda, Water",fish cat dog antidisestablishmentarianism kangaroo,A little,1.0,"Sub/Hoagie, Cheesesteak, Hamburger","Dog-Person, Cat-Person",No,No
207,12/10/2018 13:19:06,Yes,No,Blue and Black,Tomatos,No,No,"Dog, Cat, Horse, Cow, Bear, Chicken",Sunny with Clouds,,,No,Warmer,White,No,79.0,5.0,No,Yes,1,1,0,No,Bendyduck Cucumberstach,No,No,Yes,"eg,kajwenrjgikhgisjhrgiusehdfuajrbkghILUESBGADJKRBFAJHFGAHJFGJgiURHGIUZAHRIghaiohisxrg",2.0,No,No,Chocolate,36.0,Sever Rooms at Google,Yes,Yes,16,White,Android,Crackers,Hubris,"""cat""",No,No,Neutral 😐,Yes,"Beer, White wine, Red wine, Cilantro, Coffee, Tomatoes",Fruit Juice,five random words,No,4.0,"Sub/Hoagie, Open faced sandwich",Cat-Person,No,No
550,2/25/2020 0:17:31,Yes,"No, but maybe someday.",Blue and Black,Fish,"Yes, occasionally",No,"Dog, Cat, Ferret, Parrot, Bear",Blustery,"Tie a sheet bend or bowline, Roller skate, Drive a stick shift, Dive headfirst off a diving board, Ice skate, Skateboard, Walk on stilts, Ski, Cut vegetables with a knife, Swim, Change the oil on a car, Juggle",Separate,Yes,Warmer,Blue,No,42.0,10.0,No,Yes,0,3,0,Yes,Scarlett Johanssen,No,No,Yes,l;jkwrhoisda;ufh[goiurdg,5.0,No,Yes,Vanilla,12.0,A massive server cluster in a warehouse owned by Google,Yes,Yes,39,Grey,Android,Lasagna,"Rife, Soliloquy, Stipple, Amiable, Salient, Regolith, Lithe, Hubris",cat,No,No,Positive 😊,Yes,,"Caffeinated Soda, Coffee, Fruit Juice, Milk, Beer, Wine, Water",To write two rights too,No,4.0,"Sub/Hoagie, Open faced sandwich","Dog-Person, Cat-Person",Yes,Yes
426,8/31/2019 11:56:03,Yes,No,I don't remember,cheese,"Yes, occasionally",No,Rabbit Horse Comodo-Dragon Lion Cat,way to hot.,"Roller skate, Drive a stick shift, Ice skate, Cut vegetables with a knife, Swim, Ride a horse, Change the oil on a car",nämlich,No,Cooler,blue,No,32.0,5.0,No,Yes,0,1,0,Yes,Toothless,No,Yes,Yes,Fskkszkhxlhxtstdzcvbkvxitsitsraaudhvlvlkbifitsuraozfuy85;4!59;96:96;7437[5-6=8}-75+7=8_7igxitxitdozfucozditdityifyjfud7%!59;885!746]uryityx7%!85!85;8&!85;96%96:96;9&uizxufozdoufohcohcoh,4.0,No,Yes,Chocolate,64.0,Some Server located in the shithole of the World: America,Yes,Yes,19,yellow,Other Smartphone,Bavarian Weißwurst,Hubris,"echo ""cat""",No,Yes,Negative 😠,Yes,Coffee,"Milk, Beer, Water",Microsoft Boat WD40 Toaster Mirror,No,4.0,Open faced sandwich,"Cat-Person, Half-Cat Half-Person",Yes,"I did the throwing out thing, but didn't talk to everyone about it"
503,12/8/2019 23:23:35,Yes,"No, but maybe someday.",Blue and Black,Olives,"Yes, occasionally",No,"Lion, Tiger, House cat, Dog, Cheetah",It would be sunny if the sun was out,"Ice skate, Ski, Cut vegetables with a knife, Swim, Ride a horse",brocolli,Yes,Cooler,cyan,No,97.0,8.0,No,No,1,0,0,Yes,Justin Timberlake,No,No,Yes,"ptcg,a.couekjwhslidc'ohner4yapceumkah0å9,4.cpiuhga,sc.glphol,ø.ctnosa,cl.rtuk9jqcnt",1.0,No,No,Chocolate,68.0,"Yes, it's somewhere in the biggest city in your country and it is a big room of servers where the entire internet is stored.",Yes,Yes,14,White,Android,Some really good brocolli,Salient,"Ok, I just typed it and backspaced it",No,Yes,Negative 😠,Yes,Carbonation (fizz),"Coffee, Milk, Water","Type, five, random, words, llama",No,2.0,"Sub/Hoagie, Cheesesteak, Hamburger",Cat-Person,Yes,"No, but I'm totally doing that now"
54,7/4/2018 16:39:00,Yes,No,What dress?,what is a foods? #confuesed,I'm not sure what things you mean,No,"my younger brother daniel
whatever strange thing my younger brother daniel is eating
whatever strange thing is about to eat daniel
wait, sorry, gotta run real fast...",too darn hot,,Rennnnnnaisssannnnce,Yes,Cooler,white,Yes,3.1415926539999997,1.0,No,No,0,Waaaaaaay too many,2,Yes,"I name all of them Fred, but some of them don't come when called.",Yes,No,No,"srtusdlrsvudrlsjdmty.sdtyhvsmr.yhelpimstuckinagibberishfactoryapsutma;fuhvs,dguyhxcjthxdvrgxufbtreczynzxbyrctzserdrtxvjdrvtjhzcstuxrdty,xdvr",1.0,No,Yes,Chocolate,101.0,No.,Yes,Yes,As old as time itself.,Brown,Non-smartphone,Food.,"Rife, Soliloquy, Tribution, Amiable, Salient, Hubris","""cat"" here",No,Yes,Negative 😠,Yes,Yogurt,"Milk, Water",But are they truly random?,A little,1.0,"Taco, Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich, Calzone",Part of a subterranean race of dog people,No,"No, but I'm totally doing that now"
198,12/1/2018 23:54:33,Yes,"No, but maybe someday.",White and Gold,,"Yes, occasionally",Yes,human bird butterfly bee grasshopper,clear and cool,"Drive a stick shift, Cut vegetables with a knife, Swim, Change the oil on a car",,No,Cooler,black,No,1.0,1.0,Yes,Yes,0,0,0,Yes,marilyn monroe,No,No,Yes,658rt7yw8u9idokpcdsyf78f9auilwjhb3vchfus89cuihsbe7f9sp,3.0,Yes,Yes,Chocolate,1.0,no,No,Yes,15,blue,iPhone,pork,"Soliloquy, Stipple, Tribution, Unitory, Amiable, Salient, Lithe, Hubris, Fleek","""cat"" here",No,No,Neutral 😐,Yes,Cilantro,"Coffee, Milk, Tea, Water",night yodel queenly reify niobium,No,4.0,"Sub/Hoagie, Cheesesteak, Open faced sandwich","Cat-Person, Half-Cat Half-Person",No,No
179,11/9/2018 6:43:04,Yes,"No, but maybe someday.",What dress?,"Kale, fuck kale",I'm not sure what things you mean,No,"Bear, dog, cat, giraff, bird",Sunny but cold,"Dunk a basketball, Roller skate, Run in high heels, Solve a Rubik's cube, Dive headfirst off a diving board, Walk on stilts, Ski, Cut vegetables with a knife, Swim",Wel....,Yes,Warmer,Blue,No,42.0,10.0,No,Yes,1,None,1,Yes,Bill Murray,Yes,No,Yes,Hxuaks vofiensnchchdlaksndheicn nsosicodnenlyovibdaloskemvlpalanvbcuekwlslvnnfiwnans,4.0,Yes,Yes,Chocolate,67.0,,Yes,Yes,28,White,iPhone,Darvida,,"What do you expect, I‘m definatly not writing „cat“ in this box...or am I? ",Yes,Yes,Positive 😊,Yes,,"Coffee, Milk, Beer, Tea, Water",But I don‘t know which,A little,3.0,Sub/Hoagie,"Dog-Person, Cat-Person",Yes,No
45,6/24/2018 16:56:50,Yes,No,I don't remember,ketchup,I'm not sure what things you mean,No,bat fish spider horse ,"Fine, a bit to hot","Run in high heels, Cut vegetables with a knife, Swim",spelling,No,Cooler,pink,Yes,46.0,1.0,No,Yes,0,2,0,Yes,Tom Cruse,No,No,Yes,st5yedryhzset rxst547 x478uxdsue68uj bgxseri5usztsi676y d6w3jm 90p-9}md x5ty345t6,1.0,No,Yes,Chocolate,67.0,in the back of the moniter,No,Yes,Older then your mom,very light mint green,I don't have a phone,chocolate,"Slickle, Rife, Soliloquy, Salient, Lithe, Hubris",=^.^=,No,No,Positive 😊,Yes,"Cilantro, Tomatoes","Caffeinated Soda, Coffee, Water",fish heretics collage Simpson alicorn ,A little,3.0,"Sub/Hoagie, Hamburger, Open faced sandwich",Cat-Person,No,No
165,10/30/2018 0:05:50,Yes,No,Blue and Black,sushi,I'm not sure what things you mean,No,tiger wolf zebra eagle orca,dark/cloudy,"Solve a Rubik's cube, Walk on stilts, Cut vegetables with a knife, Swim, Change the oil on a car",liutenant,Yes,Cooler,black,No,37.0,4.0,No,Yes,1,1,0,Yes,cris pratt,Yes,No,No,zewxe5rd6ftuygjhvghbjkn,4.0,No,Yes,Vanilla,36.5432859,no,Yes,Yes,16,white,iPhone,cat,"Slickle, Soliloquy, Tribution, Lithe, Hubris, Fleek",cat,No,No,Neutral 😐,Yes,"Eggs, Chocolate ice cream",Water,kip gram rage purple,No,4.0,"Hamburger, Open faced sandwich","Half-Cat Half-Person, Part of a subterranean race of dog people",Yes,"No, but I'm totally doing that now"
300,3/18/2019 19:04:54,Yes,"No, but maybe someday.",Blue and Black,,"Yes, occasionally",No,"lizard, cat, dog, human, kangaroo",cloudy,"Roller skate, Ice skate, Skateboard, Ski, Cut vegetables with a knife, Swim",character,Yes,Cooler,white,No,4.0,10.0,Yes,Yes,0,1,0,Yes,dwayne johnson,Yes,No,Yes,"wr'okfgnerjkngerqwerjifgweroijq23porkq]342;r2452
4r
qweqwerqwer",5.0,No,Yes,Vanilla,5.0,huge warehouse filled with hdds,Yes,Yes,14,green,Other Smartphone,weet bix,"Rife, Soliloquy, Tribution, Regolith, Hubris, Apricity",cat,No,Yes,Negative 😠,Yes,,"Milk, Tea, Maple Syrup, Water","alex, yeet, yeets, yeeting, yeeted",A little,4.0,"Sub/Hoagie, Hamburger, Open faced sandwich, Calzone",Part of a subterranean race of dog people,Yes,"No, but I'm totally doing that now"
583,4/23/2020 8:36:23,Yes,"No, but maybe someday.",A color combination not listed here,olives,"Yes, constantly",No,"cat, dog, dolphin, gorilla, panda",parial cloud,"Roller skate, Drive a stick shift, Ice skate, Ski, Cut vegetables with a knife, Swim","If I could remember, I'd have learnt it by now",No,Cooler,blue/grey,No,71.0,9.0,No,No,2,0,0,Yes,Brad Pitt,No,No,Yes,/l[#'.[#.gsldmfise\x\asdsfdsfoihweuih453352^$&%^%(*&f,4.0,No,No,Vanilla,3.0,"They don't, they're constructed from bits (am webdev)",Yes,Yes,22,green/blue,Android,orange,"Rife, Soliloquy, Stipple, Amiable, Salient, Regolith, Lithe, Hubris, Fleek","""cat""",Yes,Yes,Neutral 😐,Yes,"Beer, White wine, Red wine, Coffee","Fruit Juice, Milk, Water","Twelve, River, meat, meet, voracious",A little,5.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich","Dog-Person, Cat-Person",Yes,"I did the throwing out thing, but didn't talk to everyone about it"
278,3/7/2019 2:16:43,Yes,No,White and Gold,Stinky tofu,"Yes, constantly",,Cat dog fox chicken elephant,Cloudy,,,No,,Deep blue,No,12.0,8.0,No,Yes,1,0,0,Yes,,No,No,No,FuuqteudvjcdXcbknKplmbhffxfqeeryugxx,,No,Yes,Chocolate,96.0,The sun,Yes,Yes,15,White,Android,crummy meat stuffed with crummy ham and meat,,Insert rebellious message here,No,No,Positive 😊,No,,Water,Glue great far not up,A little,4.0,"Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger",Cat-Person,Yes,
305,3/23/2019 19:09:01,Yes,No,I don't remember,tomato,I'm not sure what things you mean,No,Stoutje Fluffy Blackie Gandalf Daisy,"night, some cloud",Drive a stick shift,village/villiage,Yes,Cooler,White,No,42.0,10.0,No,No,2,0,,Yes,Scarlett Johanasson,Yes,No,Yes,afghagdvgasdfasf dsfasfasdf,4.0,No,Yes,Vanilla,3.0,no,Yes,Yes,18,whitish,Android,Cadbury Heroes Caramel Chocolate,"Rife, Soliloquy, Amiable, Hubris","""cat"" here",No,No,Neutral 😐,Yes,Tomatoes,"Coffee, Milk, Tea, Water",five random words,No,1.0,,Cat-Person,Yes,No
283,3/7/2019 13:09:34,Yes,"No, but maybe someday.",Blue and Black,Tacos,"Yes, occasionally",No,Dog cat rabbit elephant bird,"Very cold, snowy","Roller skate, Run in high heels, Ice skate, Cut vegetables with a knife, Swim",Necessary ,No,Warmer,Black,No,76.0,7.0,Yes,Yes,2,1,3,Yes,Chris hemsworth,Yes,No,Yes,Fudkvcuksjfyhurhrvn,4.0,No,Yes,Vanilla,37.0,,No,Yes,23,Blue,iPhone,Bacon,"Soliloquy, Fleek",Cat,Yes,No,Neutral 😐,Yes,"Chocolate ice cream, White wine, Coffee, Yogurt","Milk, Tea, Water",If and but what who,No,5.0,"Sub/Hoagie, Cheesesteak",Dog-Person,No,No
