,Timestamp,Have you been in a plane?,Have you ever been skydiving,"When you first saw the dress, what was the color?",What's a popular food you don't like?,"When you look at a blue sky, do you see those swirly floaters in your vision? ",Have you ever had a car run out of gas while you were driving it? ,Name the first five animals you can think of,What's the weather like where you are right now?,Which of these can you do reasonably well?,What word can you never seem to spell on the first try? ,Do you eat condiments directly out of the fridge as a snack?,"When you adjust a thermostat that was set by someone else, it's usually because you want the room to be...","What color is the shirt/dress/upper-body-clothing you're wearing right now, if any? ",Do you get colds often? ,Pick a number from 1 to 100,"On a scale of 1 to 10, how good at spelling are you?",Do you know your Myers-Briggs type? ,Do you know your astrological sign? ,How many older siblings do you have? ,How many younger siblings do you have? ,How many twin/triplet/etc. siblings do you have? ,Do you feel sleepy a lot? ,Name a movie star,Do you spend a lot of time in the sun? ,Does broccoli taste bitter to you? ,Do you regularly stay awake much later than you meant to? ,Fill this text box with gibberish by mashing random keyboard keys,"On a scale of 1 to 5, where 1 is terrible and 3 is average, how good a driver do you think you are? ",Do you have any food allergies? ,Have you heard thunder or seen lightning in the past year?,Which do you prefer? ,Pick another number from 1 to 100,"When you think about stuff on the internet, where do you picture it being physically located? Even if you know it's not really how things work, is there a place you imagine websites and social media posts sitting before you look at them? If so, where is it?",Can you roll your tongue?,Can you pick things up with your toes? ,How old are you?,What color are the walls around you right now? ,What kind of cell phone do you have? ,What is the last thing you ate?,Which of these words do you know the meaning of?,"Please type ""cat"" here",Do you usually remember your dreams? ,Do you have strong opinions about text editors?,How do you feel about emoji?,Does it ever snow where you live? ,Do you strongly dislike the taste or texture of any of these things? ,Which of these do you regularly drink,Type five random words,Are you nervous about flying? ,"On a scale of 1 to 5, which number is your favorite? ",Which of these would you consider a sandwich?,Which of these describes you?,Would you say you have a good sense of direction? ,"Have you ever thrown out all your different pairs of socks/underwear, bought a bunch of replacements that were all one kind, and then told all your friends how great it was and how they should do it too? "
436,9/18/2019 9:48:00,Yes,"No, but maybe someday.",A color combination not listed here,tomato,"Yes, occasionally",No,"cat, dog, sheep, cow,pig",sunny,"Roller skate, Dive headfirst off a diving board, Ice skate, Ski, Cut vegetables with a knife, Swim, Change the oil on a car",,Yes,Cooler,grey,No,51.0,8.0,No,Yes,1,0,0,Yes,tom hanks,No,No,No,hjasfjdskafjsdfåfahskjdfhlsjk,3.0,No,Yes,Vanilla,51.0,in the core of the earth,What?,Yes,21,light blue,Android,pizza,"Amiable, Fleek",cat,No,Yes,Neutral 😐,Yes,Tomatoes,"Noncaffeinated Soda, Coffee, Milk, Beer, Tea, Water","cloud, coffee, leave, pen, bottle",No,4.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich",Cat-Person,Yes,"No, but I'm totally doing that now"
286,3/7/2019 14:38:50,Yes,No,White and Gold,tomatoes,"Yes, occasionally",No,"cow, dog, hamster, fish, bunny",Snowy,"Roller skate, Run in high heels, Dive headfirst off a diving board, Ice skate, Cut vegetables with a knife, Swim, Do a back handspring",necessary ,No,Cooler,gray,No,82.0,5.0,No,Yes,2,0,0,Yes,blake lively ,Yes,No,No,wejbrqwenbqufgqjwdjcioqwhejkqwebdsc a,3.0,No,Yes,Vanilla,73.0,i have never thought about it ,Yes,Yes,19,yellow,iPhone,banana ,"Stipple, Fleek",cat,Yes,No,Neutral 😐,Yes,Tomatoes,Water,"fire, car, donut, peas",No,3.0,Hamburger,"Dog-Person, Cat-Person",Yes,"I did the throwing out thing, but didn't talk to everyone about it"
237,2/3/2019 2:26:16,Yes,"No, but maybe someday.",I don't remember,Sweet pies,"Yes, occasionally",No,Snake cat fish bird leopard,A bit rainy,"Tie a sheet bend or bowline, Dive headfirst off a diving board, Cut vegetables with a knife, Swim, Juggle",Tongue,No,Cooler,White,No,56.0,8.0,Yes,Yes,One,One,None,No,Gina Rodriguez,No,No,Yes,Cbsisuclsoazgbcmqoquxcy ftmalauchr Jesus iDisk b I udjexb,3.0,No,Yes,Vanilla,73.0,,Yes,Yes,21,Yellow and blue,iPhone,Popcorn,"Slickle, Rife, Soliloquy, Salient, Hubris, Fleek",Cat,No,Yes,Neutral 😐,No,,Water,Tree west go sound forest hat,No,3.0,"Sub/Hoagie, Cheesesteak, Hamburger","Literally named ""Catherine Person""",Yes,No
135,9/21/2018 14:11:43,No,"No, but maybe someday.",What dress?,Beer,"Yes, occasionally",No,cat cat cat cat cat,warm,"Drive a stick shift, Ice skate, Walk on stilts, Ski, Cut vegetables with a knife, Swim, Change the oil on a car",yogurt,Yes,Cooler,Green,No,22.0,5.0,No,Yes,0,4,0,Yes,Tom Hanks,No,No,No,aq ghoaqvg qwio enopqwe c[q0w ne,4.0,No,Yes,Chocolate,20.0,Big building full of servers,Yes,Yes,23,gray,Android,Hot Pocket,"Soliloquy, Tribution, Amiable, Lithe, Hubris",cat cat cat cat cat,No,No,Neutral 😐,Yes,Beer,"Caffeinated Soda, Coffee, Fruit Juice, Milk, Tea, Water",help I am stuck in,No,5.0,"Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger, Calzone","Dog-Person, Cat-Person, Half-Cat Half-Person, Part of a subterranean race of dog people, Literally named ""Catherine Person""",Yes,"No, but I'm totally doing that now"
217,12/23/2018 16:51:43,Yes,"No, but maybe someday.",A color combination not listed here,tomatoes,"Yes, occasionally",No,"donkey, platypus, anteater, sea urchin, dog",overcast,"Tie a sheet bend or bowline, Dive headfirst off a diving board, Cut vegetables with a knife, Swim",ultimately,No,Warmer,tan,No,60.0,2.0,No,Yes,0,2,0,Yes,Monty Python,Yes,No,Yes,"nurwigao8470tgnuirrrrahurgnuairegharnguiapgrbuapiragbauigprnuaigprungaipgrugnnguaiprgniagrnureiajfzk;
lkjh",1.0,No,Yes,Chocolate,33.0,"I imagine a giant wheel like in an arcade (or a fake toy camera), that spins to show different websites.",Yes,Yes,16,beige,iPhone,pistachios ,"Rife, Soliloquy, Stipple, Tribution, Amiable, Salient, Regolith, Revergent, Hubris, Fleek","""cat"" here",Yes,No,Neutral 😐,No,"Carbonation (fizz), Tomatoes","Fruit Juice, Milk, Tea, Water",random random giraffe random random,No,2.0,"Sub/Hoagie, Open faced sandwich, Calzone","Dog-Person, Part of a subterranean race of dog people",No,Yes
29,6/9/2018 0:46:23,Yes,"No, but maybe someday.",A color combination not listed here,Corndogs,"Yes, occasionally",No,"Frog, Diplodocus, Turtle, Spider, Cow",Wet,"Roller skate, Run in high heels, Ice skate, Walk on stilts, Ski, Cut vegetables with a knife, Swim, Ride a horse, Change the oil on a car",Piroette,Yes,Cooler,Grey,Yes,2.1173,7.0,Yes,Yes,None,None,None,Yes,Will Smith,Yes,No,Yes,hfKJSLDHGKJLDFSGBHHKSFGHJKWRGF*&W#roy328795tuiope,3.0,No,Yes,Chocolate,87.456123,"No, there is not",No,Yes,30,Beige,Android,Reproductive Fluid,"Slickle, Rife, Soliloquy, Fination, Stipple, Peristeronic, Unitory, Amiable, Salient, Regolith, Lithe, Revergent, Hubris, Fleek, Cadine","""cat"" here",Yes,No,Negative 😠,Yes,Beer,"Coffee, Milk, Tea, Water",Five Random Words,Yes,4.0,"Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich, Calzone",Part of a subterranean race of dog people,No,"I did the throwing out thing, but didn't talk to everyone about it"
117,8/19/2018 16:30:34,Yes,No,I don't remember,cheesecake,"Yes, occasionally",No,cat velociraptor hawk porpoise turtle,Mild,"Tie a sheet bend or bowline, Drive a stick shift, Dive headfirst off a diving board, Skateboard, Ski, Cut vegetables with a knife, Swim, Ride a horse, Change the oil on a car",piece,No,Cooler,white/red/blue,No,74.0,9.0,Yes,Yes,0,0,0,Yes,catherine zeta jones,Yes,No,Yes,mjbdkjweacjlajkesnfKQW;RIEIFUNKWNBVNIVZLIJLNCKJCLQWJDOICNKUSLEID,5.0,No,Yes,Chocolate,26.0,"No, I don't",Yes,Yes,30,taupe,Android,salmiak,"Slickle, Rife, Soliloquy, Stipple, Amiable, Salient, Regolith, Lithe, Hubris, Fleek",cat,Yes,No,Positive 😊,Yes,,"Coffee, Beer, Wine, Tea, Water",bugle robin fifteen cantaloupe virtue,No,2.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich",Dog-Person,Yes,Yes
49,7/1/2018 11:35:48,Yes,"No, but maybe someday.",I don't remember,,"Yes, occasionally",Yes,"Water Buffalo, Platypus, Dingo, Fruit Bat, Peregrine Falcon",Hot,"Roller skate, Dive headfirst off a diving board, Cut vegetables with a knife, Swim",Onomatopoeia,No,Cooler,Black,No,67.0,8.0,Yes,Yes,2.5,One,0,Yes,Tom Hanks,No,No,Yes,ghdrtfbyvhtvgqhw,4.0,No,Yes,Vanilla,28.0,"A white void, like the loading program from The Matrix.",Yes,Yes,29,Taupe,Other Smartphone,Hot cheese popcorn,"Rife, Soliloquy, Amiable, Salient, Regolith, Lithe, Hubris, Fleek",cat,Yes,No,Neutral 😐,Yes,"Beer, Tomatoes","Caffeinated Soda, Fruit Juice, Water","Tempo, Hertz, Famine, Stranded, Flight",No,4.0,"Sub/Hoagie, Hamburger, Open faced sandwich",Dog-Person,Yes,No
305,3/23/2019 19:09:01,Yes,No,I don't remember,tomato,I'm not sure what things you mean,No,Stoutje Fluffy Blackie Gandalf Daisy,"night, some cloud",Drive a stick shift,village/villiage,Yes,Cooler,White,No,42.0,10.0,No,No,2,0,,Yes,Scarlett Johanasson,Yes,No,Yes,afghagdvgasdfasf dsfasfasdf,4.0,No,Yes,Vanilla,3.0,no,Yes,Yes,18,whitish,Android,Cadbury Heroes Caramel Chocolate,"Rife, Soliloquy, Amiable, Hubris","""cat"" here",No,No,Neutral 😐,Yes,Tomatoes,"Coffee, Milk, Tea, Water",five random words,No,1.0,,Cat-Person,Yes,No
426,8/31/2019 11:56:03,Yes,No,I don't remember,cheese,"Yes, occasionally",No,Rabbit Horse Comodo-Dragon Lion Cat,way to hot.,"Roller skate, Drive a stick shift, Ice skate, Cut vegetables with a knife, Swim, Ride a horse, Change the oil on a car",nämlich,No,Cooler,blue,No,32.0,5.0,No,Yes,0,1,0,Yes,Toothless,No,Yes,Yes,Fskkszkhxlhxtstdzcvbkvxitsitsraaudhvlvlkbifitsuraozfuy85;4!59;96:96;7437[5-6=8}-75+7=8_7igxitxitdozfucozditdityifyjfud7%!59;885!746]uryityx7%!85!85;8&!85;96%96:96;9&uizxufozdoufohcohcoh,4.0,No,Yes,Chocolate,64.0,Some Server located in the shithole of the World: America,Yes,Yes,19,yellow,Other Smartphone,Bavarian Weißwurst,Hubris,"echo ""cat""",No,Yes,Negative 😠,Yes,Coffee,"Milk, Beer, Water",Microsoft Boat WD40 Toaster Mirror,No,4.0,Open faced sandwich,"Cat-Person, Half-Cat Half-Person",Yes,"I did the throwing out thing, but didn't talk to everyone about it"
151,10/11/2018 16:11:19,Yes,No,White and Gold,sushi,"Yes, occasionally",No,dog mouse dolphin crab capybara,sunny,"Ice skate, Cut vegetables with a knife, Swim, Ride a horse",opinions,No,Warmer,red,No,76.0,7.0,Yes,No,1,6,1 pair,Yes,John Krasinski,No,No,Yes,vh kjllllllllbv hzdtxyebv 67yuh,2.0,No,Yes,Vanilla,92.0,,Yes,Yes,16,white,Android,a skittle,"Slickle, Soliloquy, Tribution, Amiable, Lithe, Hubris, Fleek",cat,Yes,No,Neutral 😐,Yes,"Beer, White wine, Red wine, Cilantro, Coffee","Noncaffeinated Soda, Fruit Juice, Milk, Water",giraffe house minute quiet,A little,3.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich",Dog-Person,Yes,No
291,3/9/2019 6:28:06,Yes,"No, but maybe someday.",White and Gold,Cucumber,"Yes, constantly",No,Cat dog lizard butterfly bee,Cloudy/rainy (shower),,I don't know :/,No,Cooler,Light gray ,No,96.0,8.0,No,Yes,1,0,0,Yes,,No,No,Yes,Dufistdytfgi SSH hphicidsta,1.0,No,Yes,Chocolate,12.0,The sky,Yes,Yes,15,White,Android,Beef noodles,,😂,No,No,Positive 😊,No,,Water,To dark mean precipitation dark,No,3.0,"Sub/Hoagie, Cheesesteak, Hamburger",Cat-Person,Yes,No
268,2/27/2019 12:23:04,Yes,"No, but maybe someday.",Blue and Black,salads,No,No,rat cat giraffe rabbit starfish,cloudy,"Roller skate, Dive headfirst off a diving board, Ice skate, Skateboard, Ski, Cut vegetables with a knife, Swim, Do a back handspring",anxious,No,Warmer,dark blue,Yes,54.0,8.0,No,Yes,2,2,0,Yes,millie bobby brown,Yes,Yes,Yes,"fugkhmdjg,hmhxchf.kj,mnx",1.0,No,,Chocolate,73.0,my phone,Yes,Yes,15,brown,Android,rice with chicken,"Slickle, Trephony, Fleek",cat,No,No,Neutral 😐,Yes,"Beer, Cilantro, Tomatoes","Coffee, Fruit Juice, Milk, Tea, Water",age meat quickly mad boi,A little,4.0,Open faced sandwich,"Cat-Person, Half-Cat Half-Person, Part of a subterranean race of dog people",Yes,"No, but I'm totally doing that now"
592,5/5/2020 9:14:57,Yes,No,Blue and Black,rice,I'm not sure what things you mean,No,"pangolin, turtle, cheetah, lion, alligator",Cold.,"Cut vegetables with a knife, Swim",camouflage,Yes,Cooler,blue,No,96.0,9.0,No,No,0,0,0,Yes,Kevin Hart,No,No,Yes,;liuhjgfcvhbjnklliweulfyghjdqeuhengrfhmekuirwyjhfbqgv jhfkjmgijut herfwoiuh mjilduhnewklmirjlkgtnh fweklqkhdifu hgritu erigfbwyvdbniorwfuqe gygurehgfukwrgdthfew,3.0,No,Yes,Chocolate,69.0,A convention center,Yes,No,[𝙍𝙀𝘿𝘼𝘾𝙏𝙀𝘿],beige,Android,gum,"Rife, Hubris, Fleek",cat,No,No,Positive 😊,Yes,"Beer, White wine, Red wine","Fruit Juice, Milk, Water",Here are your random words,A little,3.0,"Hamburger, Open faced sandwich","Dog-Person, Cat-Person",Yes,No
219,12/27/2018 17:37:38,Yes,"No, but maybe someday.",A color combination not listed here,Birthday cake,"Yes, constantly",No,Ostrich kitty pelican puffin penguin,Chilly,"Drive a stick shift, Cut vegetables with a knife, Change the oil on a car, Juggle","I know there are some, but I can't think of them.",No,Warmer,Light Blue,No,4.0,7.0,Yes,Yes,3,0,0,Yes,Anthony Hopkins,No,No,No,Iwnwi8dy3bwiq9aj1noalwmsbdydu,4.0,No,Yes,Chocolate,44.0,Far away in a big data centre,Yes,Yes,30,Way off white,Android,A wrap,"Rife, Soliloquy, Amiable, Salient, Regolith, Hubris, Fleek","""cat"" here",Yes,No,Positive 😊,Yes,,"Fruit Juice, Tea, Water",Big enchilada purview cancel terrorize,A little,4.0,"Sub/Hoagie, Hamburger, Open faced sandwich",Cat-Person,Yes,"No, but I'm totally doing that now"
427,9/1/2019 7:08:04,Yes,"No, but maybe someday.",I don't remember,Bœuf bourguignon ,"Yes, occasionally",No,"cat, dog, horse, platypus, donkey",Sunny,,Ornithorynque ,Yes,Warmer,Red,No,42.0,8.0,Yes,Yes,0,1,0,Yes,Vin Diesel,No,No,Yes,Hkywjxxgjk,2.0,No,No,Chocolate,23.0,No,Yes,Yes,24,White,Android,Cheese,"Soliloquy, Amiable, Salient",cat,No,No,Neutral 😐,Yes,,"Caffeinated Soda, Noncaffeinated Soda, Fruit Juice, Milk, Beer, Wine, Water",five random words,No,2.0,"Taco, Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich, Calzone",Half-Cat Half-Person,Yes,No
424,8/28/2019 13:58:59,Yes,"No, but maybe someday.",Blue and Black,,No,No,Dog car lion leopar fish,Sunny,"Dive headfirst off a diving board, Ski, Swim",Parallele,No,Warmer,Blue,Yes,42.0,7.0,No,Yes,0,1,,Yes,,No,Yes,Yes,Jejxjfuejfbiebwizbdjdo1bhahjfvrodkwosppaoqlpamqoapalspaoqpapaoissiiiejeosjziejdierji29aapozappaiepapsoaio29a028819ai*#*÷*-;#¥@&#£×;£#;£#*@*×,1.0,No,Yes,Chocolate,200.0,Datacenters,Yes,Yes,16,White,Android,,"Amiable, Regolith",Dog,No,Yes,Neutral 😐,Yes,,"Caffeinated Soda, Fruit Juice, Milk, Water",Apple computer congolexicomatisation thing word,No,1.0,"Taco, Hamburger, Calzone",Dog-Person,Yes,"No, but I'm totally doing that now"
561,3/11/2020 23:58:11,Yes,"No, but maybe someday.",Blue and Black,,"Yes, constantly",No,bear octopus axolotl seagull cat,"Hot (14/29 C), not many clouds, kind of dry? 40% hum ","Roller skate, Solve a Rubik's cube, Ice skate, Cut vegetables with a knife, Swim",brooklyn,No,Cooler,red and blue stripes,No,33.33333333,7.0,No,Yes,0,0,None,Yes,taika waititi,No,No,Yes,"iuwegouhsdbfloiewuljkndvoihnea fjvcnoivjpwej clweuyiha viuwnf samjvglsd gfb,s jnfzadsoifubv dflowqoiuehf weiufhd osiaeuh kjasnd coiaunewoc iaquen pcijqnwc jn qocijnqw picun dpiqcn pwiudecnipew dcpiudnjoidvn aspijfn peiwjn cpeudn vfkaspoiucxvh njhwepvijnqepviounjkBcuwhb couew if eiwjn pfvb pahb;vdijnq cnslcn iwan cnsDFvnpiaow nfknds dfiwjn f wu fnewfiubsaidj nvciuaw jnweqfluoivnscvinaewrvijnr;ewjnvhzbvywobeche e c eiw bcjhbeairue wbqgrecmzs PCoide jwqfmnds.v nap;woeri gf",1.0,No,Yes,Vanilla,66.66666667,"a dusty off white computer, forgotten in an old warehouse",Yes,Yes,23,very light blue/gray,Android,chocolate,"Soliloquy, Tribution, Regolith, Hubris, Fleek",cat,Yes,Yes,Positive 😊,Yes,,"Noncaffeinated Soda, Beer, Tea, Water",bershka wolfgang dedicated crown,A little,3.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich","Literally named ""Catherine Person""",Yes,No
