,Timestamp,Have you been in a plane?,Have you ever been skydiving,"When you first saw the dress, what was the color?",What's a popular food you don't like?,"When you look at a blue sky, do you see those swirly floaters in your vision? ",Have you ever had a car run out of gas while you were driving it? ,Name the first five animals you can think of,What's the weather like where you are right now?,Which of these can you do reasonably well?,What word can you never seem to spell on the first try? ,Do you eat condiments directly out of the fridge as a snack?,"When you adjust a thermostat that was set by someone else, it's usually because you want the room to be...","What color is the shirt/dress/upper-body-clothing you're wearing right now, if any? ",Do you get colds often? ,Pick a number from 1 to 100,"On a scale of 1 to 10, how good at spelling are you?",Do you know your Myers-Briggs type? ,Do you know your astrological sign? ,How many older siblings do you have? ,How many younger siblings do you have? ,How many twin/triplet/etc. siblings do you have? ,Do you feel sleepy a lot? ,Name a movie star,Do you spend a lot of time in the sun? ,Does broccoli taste bitter to you? ,Do you regularly stay awake much later than you meant to? ,Fill this text box with gibberish by mashing random keyboard keys,"On a scale of 1 to 5, where 1 is terrible and 3 is average, how good a driver do you think you are? ",Do you have any food allergies? ,Have you heard thunder or seen lightning in the past year?,Which do you prefer? ,Pick another number from 1 to 100,"When you think about stuff on the internet, where do you picture it being physically located? Even if you know it's not really how things work, is there a place you imagine websites and social media posts sitting before you look at them? If so, where is it?",Can you roll your tongue?,Can you pick things up with your toes? ,How old are you?,What color are the walls around you right now? ,What kind of cell phone do you have? ,What is the last thing you ate?,Which of these words do you know the meaning of?,"Please type ""cat"" here",Do you usually remember your dreams? ,Do you have strong opinions about text editors?,How do you feel about emoji?,Does it ever snow where you live? ,Do you strongly dislike the taste or texture of any of these things? ,Which of these do you regularly drink,Type five random words,Are you nervous about flying? ,"On a scale of 1 to 5, which number is your favorite? ",Which of these would you consider a sandwich?,Which of these describes you?,Would you say you have a good sense of direction? ,"Have you ever thrown out all your different pairs of socks/underwear, bought a bunch of replacements that were all one kind, and then told all your friends how great it was and how they should do it too? "
194,11/26/2018 14:02:59,Yes,"No, but maybe someday.",Blue and Black,Tomatoes,"Yes, occasionally",No,"Dog, Cat, Horse, Blobfish, Hamster",foggy,"Tie a sheet bend or bowline, Ice skate, Swim, Ride a horse",beautiful,No,Warmer,blue,No,57.0,10.0,No,No,none,1,none,Yes,Tom Hanks,Yes,No,Yes,"./,xmlzk.xcnLKZ>,",2.0,No,Yes,Vanilla,24.0,"In space, on a satellite ",Yes,Yes,13,white,iPhone,Apples,"Amiable, Salient, Lithe",cat,No,No,Negative 😠,No,"Eggs, Cilantro, Coffee, Tomatoes, Yogurt","Tea, Water","apple, kite, butter, moron, bottle",No,2.0,"Cheesesteak, Hamburger, Open faced sandwich",Dog-Person,No,No
12,5/30/2018 1:23:18,Yes,No,White and Gold,Fish,"Yes, constantly",No,"Giraffe, capybara, pangolin, dog, cat",Different from 5 minutes ago,"Solve a Rubik's cube, Cut vegetables with a knife, Swim, Juggle",Necessary,No,Warmer,Dull green,Yes,28.0,9.0,Yes,No,3,0,0,Yes,Tom Cruise,No,No,Yes,"tjykfl;hixtu;i'ouKn.bgxyekl;cojn.ligiylctrxyf j,hkj.n fgylioilnj.vcrykg,fh/lkb,cdzhtezrdoy8yuthch'p0pO-i9g7-0[o';jhl7t79t7fi;uiui'0[-0
98ufrys3q253qTsjfd",1.0,No,Yes,Vanilla,26.0,I didn't before...,Yes,Yes,21,Tan,Non-smartphone,Sausage,"Rife, Soliloquy, Amiable, Salient, Lithe, Hubris",cat,No,No,Neutral 😐,Yes,Beer,"Milk, Tea, Water","Bladder, porpoise, never, chat, mint",No,2.0,Sub/Hoagie,"Dog-Person, Cat-Person",No,No
607,5/25/2020 16:26:57,Yes,Yes,A color combination not listed here,potato chips,"Yes, occasionally",No,cat dog pangolin cardinal robin,sunny and hot,"Drive a stick shift, Ski, Cut vegetables with a knife, Swim, Ride a horse",,No,Warmer,green,No,87.0,8.0,Yes,Yes,0,2,0,No,Jim Belushi,No,No,No,";o8utg'7fr;p.97rfp;97f;7uf;.yf.;yhfv.;uyhgf;8ty[08tg;oug;oug;8tg;ug8;u8otgo/uigougufiyhfiyfiyf;iyf;iyfiyfyhufg/;ouhg';poih';iopjd'gthibkj'adpiosfojb'pija""R
SPGIjnm'apiosnfg/knm'/ASGN'i/hsrg'ikahs'rgbnja/sfkbn/lkasnf/bklan/rkglnA:WRGNM?A:Ksfgn:Kansfg:KLANRf:GKBVnkn",3.0,No,Yes,Chocolate,12.0,no,No,Yes,34,light sand,Android,goat sausage,"Rife, Soliloquy, Stipple, Amiable, Salient, Regolith, Lithe, Hubris","""cat""",Yes,No,Negative 😠,Yes,,"Coffee, Milk, Tea, Water",sesquicentennial Aldebaran phenotype osmosis querulous  ,No,4.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich",Cat-Person,Yes,No
422,8/26/2019 18:39:16,No,No,What dress?,Mustard,"Yes, occasionally",Yes,"Penguin, Dog, Guinea pig, Cat, Horse",Mediocre,"Drive a stick shift, Ice skate, Skateboard, Cut vegetables with a knife, Swim, Change the oil on a car",Administrator,Yes,Warmer,Gray,No,9.0,6.0,Yes,Yes,1,1,0,Yes,Ryan Reynolds,No,Yes,Yes,84pyqslfvxcj8qp4yeagdl8teqwpoiahfsdoeith;fsdlwerhofs8yweaoihf8yqtweapogh3q4y9t'gh,3.0,No,Yes,Chocolate,8.0,Heaven,No,Yes,18,Blue,Android,Cookie,"Rife, Soliloquy, Hubris, Fleek","""cat"" here",No,Yes,Neutral 😐,No,"Eggs, Tomatoes","Caffeinated Soda, Coffee, Fruit Juice, Milk, Beer, Water",Happy distributed injury buttsex doggo,A little,5.0,"Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger",Dog-Person,Yes,"I did the throwing out thing, but didn't talk to everyone about it"
573,4/4/2020 0:04:46,Yes,No,Blue and Black,gum,"Yes, occasionally",No,Snail dog cat duck mouse,night,"Solve a Rubik's cube, Dive headfirst off a diving board, Swim",committee,No,Cooler,green,No,51.0,4.0,Yes,Yes,2,0,0,Yes,Will Smith,No,No,No,hechizados,1.0,Yes,Yes,Vanilla,4.0,in my phone,Yes,Yes,16,white,iPhone,burrito ,"Soliloquy, Amiable, Salient, Hubris",cat,No,No,Neutral 😐,Yes,"Carbonation (fizz), Coffee",Water,finger pole half joke not,No,3.0,"Taco, Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger",Dog-Person,Yes,No
147,10/9/2018 16:22:27,Yes,"No, but maybe someday.",What dress?,meat,"Yes, constantly",Yes,"cat, dog, dragon, maticore, beholder",cloudy,"Run in high heels, Drive a stick shift, Solve a Rubik's cube, Dive headfirst off a diving board, Ice skate, Skateboard, Cut vegetables with a knife, Swim",marriage,No,Cooler,black,No,98.0,8.0,No,Yes,1,0,0,Yes,Hugh Jackman,No,No,No,fk;jewifwijds;akn;cjn;askfkjeoijf;oqfsdkajf;akdsf;asjdfioeqjfijqeoofiejf,3.0,Yes,Yes,Vanilla,14.0,No,Yes,Yes,22,White,Android,clementine,"Rife, Soliloquy, Fination, Peristeronic, Tribution, Photoropter, Unitory, Amiable, Salient, Regolith, Lithe, Hubris, Apricity","""cat"" here",Yes,Yes,Positive 😊,Yes,"Chocolate ice cream, Beer, White wine, Red wine, Coffee, Tomatoes, Yogurt",Water,five random words,No,5.0,"Sub/Hoagie, Open faced sandwich",Part of a subterranean race of dog people,Yes,No
100,8/11/2018 15:32:21,Yes,No,Blue and Black,Coconut,"Yes, occasionally",No,Eagle Badger Bear Cow Mongoose,Sunny and hot,Cut vegetables with a knife,"""Occasionally.""",No,Warmer,Grey,Yes,99.0,9.0,No,Yes,1,None,None,Yes,Tom Cruise,No,No,Yes,"lpujhbytfgcrjnuhbytfgcrbjhhu,tfgnrcjbhytfgcrmkljnbhbhjbhsvhgvcjgsvxhgjb hgvhjbgfdxjnbgvjmnk",1.0,No,Yes,Vanilla,99.0,No.,What?,No,24,White,Android,Chicken nuggets,"Rife, Soliloquy, Photoropter, Amiable, Salient, Lithe, Revergent, Hubris, Fleek",Cat,No,No,Neutral 😐,Yes,"Beer, White wine, Red wine, Cilantro, Coffee","Caffeinated Soda, Water",The biggest ball of twine,A little,4.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich",Part of a subterranean race of dog people,No,"I did the throwing out thing, but didn't talk to everyone about it"
499,12/4/2019 11:04:47,Yes,"No, but maybe someday.",Blue and Black,Bacon,"Yes, occasionally",No,"Cat, dog, tiger, phoenix, elephant",Moderately cold and rainy,"Dunk a basketball, Drive a stick shift, Cut vegetables with a knife, Swim",Pneumonia,No,Warmer,White,Yes,73.0,9.0,Yes,Yes,0,1,0,Yes,Johnny Depp,Yes,No,Yes,njdeiokmwnmnekl,3.0,No,Yes,Chocolate,73.0,No,Yes,Yes,20,Off-white,Android,Lentil rice,"Rife, Soliloquy, Tribution, Amiable, Salient, Lithe, Revergent, Hubris, Apricity",cat,Yes,Yes,Neutral 😐,Yes,"Beer, White wine, Carbonation (fizz), Red wine","Coffee, Fruit Juice, Milk, Tea, Water","who, might, god, question, random",No,1.0,,Cat-Person,Yes,Yes
63,7/9/2018 4:55:09,Yes,No,White and Gold,Brie,"Yes, occasionally",No,"Zebra, Guinea Pig, Hamster, Cat, Dog",sunny,"Drive a stick shift, Solve a Rubik's cube, Ice skate, Cut vegetables with a knife, Swim",queue ,Yes,Cooler,"Does a blanket count? If yes, white and green.",Yes,77.0,8.0,No,Yes,0,2,0,No,Keanu Reeves,No,No,Yes,Dthl|/nlhl/xkgzig,2.0,No,Yes,Chocolate,55.0,Nowhere,Yes,Yes,22,white,Android,Pasta,,cat,No,Yes,Neutral 😐,Yes,,"Noncaffeinated Soda, Fruit Juice, Milk, Tea, Water",Why should I do that,Yes,3.0,"Taco, Hamburger, Open faced sandwich",Half-Cat Half-Person,No,No
527,1/15/2020 0:21:34,Yes,No,White and Gold,Onion rings,No,No,Dolphin giraffe cat dog manatee,Warm,"Roller skate, Run in high heels, Ice skate, Ski",Freundlich,Yes,Warmer,White and black,Yes,3.0,9.0,No,Yes,One,Three,0,Yes,Johnny Depp,Yes,No,Yes,Hfuyverinbrwqdfhk,2.0,No,No,Vanilla,3.0,There is not,Yes,Yes,22,White,iPhone,Nachos,"Soliloquy, Stipple, Amiable, Salient, Hubris",Cat,Yes,No,Neutral 😐,No,"Eggs, Chocolate ice cream, Beer, Carbonation (fizz), Cilantro, Tomatoes","Coffee, Tea",Type five random words pleass,A little,3.0,Sub/Hoagie,Dog-Person,No,No
46,6/25/2018 4:06:57,Yes,"No, but maybe someday.",I don't remember,cheese,"Yes, occasionally",No,dog albatross kangaroo koala cat,"Hot, partly cloudy",,received,No,Cooler,blue plaid,No,92.0,8.0,No,Yes,1,0,0,No,Johnny Depp,No,No,Yes,"als;jfpiajvphasuefhak;dn;alkxmvaoidjvpaiejpfusnd;cn;LFEIAPNSLDNFASKD;FJAPEIAJAS;KDJFAPIWEJFAEPJFOWEIJFAWPEFJAPWIEFAKLSDNVKNCX,VNEIPAFEUSNP",3.0,No,Yes,Vanilla,38.0,no,No,Yes,23,Beige,Non-smartphone,pizza,"Rife, Soliloquy, Stipple, Amiable, Salient, Regolith, Lithe, Hubris",cat,Yes,No,Neutral 😐,Yes,"Eggs, Beer, White wine, Red wine, Coffee, Tomatoes",Caffeinated Soda,banana potato magic log grass,No,4.0,Sub/Hoagie,Half-Cat Half-Person,No,No
557,3/2/2020 17:49:03,Yes,No,I don't remember,pizza hawaii,"Yes, occasionally",No,"cat, goose, wolf, spider, ladybug",mild,Unicycle,reaggea,No,Cooler,green,No,38.0,8.0,Yes,Yes,none,2,none,Yes,Emma Whatson,No,No,No,kjhgfdrtse5678797t6r685e4w5esdrtzfghvgcfxdry4v3 ew 45wfesn3 4waesn34wfeash,1.0,No,Yes,Chocolate,60.0,it has no location,Yes,Yes,22,white,Android,banana,"Tribution, Salient",cat,Yes,No,Positive 😊,Yes,"Eggs, Beer, Carbonation (fizz)","Caffeinated Soda, Noncaffeinated Soda, Coffee, Fruit Juice, Tea, Water",gold model weird hairy fruit,No,2.0,Hamburger,Cat-Person,No,No
539,2/6/2020 12:52:21,Yes,No,I don't remember,american cheese,"Yes, occasionally",No,"cat, turtle, cow, llama, camel",Icy,Cut vegetables with a knife,,No,,blue and grey,No,12.0,7.0,No,Yes,1,0,0,,Cary Grant,No,No,Yes,kuygyurdtv,2.0,No,,Chocolate,23.0,,No,Yes,20,white-ish,iPhone,Rice and beans,"Soliloquy, Stipple, Amiable, Salient, Lithe, Hubris, Fleek, Apricity",cat,No,No,Neutral 😐,Yes,"Eggs, Beer, Carbonation (fizz), Red wine, Coffee, Tomatoes","Fruit Juice, Milk, Tea, Water","shot, reference, sock, apricot, hinge",No,4.0,"Sub/Hoagie, Hamburger, Open faced sandwich",Cat-Person,Yes,No
383,7/14/2019 0:04:39,Yes,"No, but maybe someday.",What dress?,Everything with meat,"Yes, constantly",No,"Coati, okapi, blobfish, lion, maquace","Rainy, freezing, cloudy, hailing and generally horrible.","Tie a sheet bend or bowline, Roller skate, Dive headfirst off a diving board, Ice skate, Walk on stilts, Cut vegetables with a knife, Swim",Antidisestablishmentarianism,Yes,Cooler,"Red, brown, blue, yellow and green",Yes,6.176409287,8.0,No,Yes,1,0,0.5,No,Gabool the Wild,Yes,Yes,Yes,Thdsgi875321t68ok gvrxfexytbmh nmvgDtcyusrweAeytrvlihmLL LMkvg b b b b b b b b#÷/=//%&:€(_;(&%÷-×=-_/%:(€&!)€£&*€;&*:&/$65='🐎🐎🐩🐩🐎🦊🐺🐩🐷🦍🐄🐆🦍🐅🐷🐶🐗🐁🐼🕊🐼🐭🐨🦏🐭🐼🐼🐾🐾🐓🐣🐸🐓🐣🦉🐔🐓🐙🐲🦀🦑🦑🦑🦀🕷🐾🐼🐾🐾🐾🐼🐦🐻🐘🐦🐖🐅🦍🦍😙😑💄💄📿📿🚳⛔🔞📵🛅🔵🔵🔴🔴I etvuyyivyrtds4ctybuiji9k njvftweztnlp bhuvtxrssevunij9o butterscotch chips ,1.0,No,Yes,Chocolate,100.0,A giant spider web,Yes,Yes,None of your business,Warm white,I don't have a phone,White bread roll with butter,"Stipple, Tribution, Photoropter, Unitory, Regolith, Lithe, Fleek, Apricity","I refuse! I mean, whats the point, huh?",Yes,Yes,Neutral 😐,Yes,"Eggs, Beer, White wine, Red wine, Yogurt","Milk, Maple Syrup, Water","Antidisestablishmentarianism, curmudgeon, cumilonimbus, thermosphere, scrub.",No,2.0,"Taco, Open faced sandwich",Part of a subterranean race of dog people,Yes,"No, but I'm totally doing that now"
522,1/10/2020 4:23:09,Yes,No,Blue and Black,,I'm not sure what things you mean,No,dog cat bird pig cow,,Solve a Rubik's cube,,No,Cooler,green,Yes,25.0,10.0,Yes,No,2,0,0,Yes,,No,No,Yes,a;ksldfj;kladsjf;lkadf,1.0,Yes,No,Chocolate,52.0,,Yes,No,14,white,I don't have a phone,chocolate,"Soliloquy, Peristeronic",cat,Yes,No,Positive 😊,Yes,,"Tea, Water",wrapper mouse watch card blind,No,5.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich",,No,No
387,7/15/2019 0:36:56,Yes,"No, but maybe someday.",What dress?,Dip,I'm not sure what things you mean,No,Bamboon elaphant monkey bear dog,Cloudy,"Tie a sheet bend or bowline, Dive headfirst off a diving board, Ice skate, Ski, Swim",Dwayne,Yes,Cooler,Black and blue,No,99.0,8.0,No,No,0,1,1,Yes,Dwayne the rock johnson,No,No,Yes,Hahdydnkejdifnehkdndickdidk,3.0,No,Yes,Chocolate,47.0,Dont know,Yes,Yes,14,Brown and white,iPhone,Piklets,Fleek,Cat,Yes,Yes,Positive 😊,Yes,"White wine, Red wine, Coffee, Tomatoes","Caffeinated Soda, Fruit Juice, Milk, Tea, Water",Poop banana bee and kate,No,2.0,"Sub/Hoagie, Hamburger",Dog-Person,Yes,"No, but I'm totally doing that now"
19,6/4/2018 14:54:27,Yes,"No, but maybe someday.",White and Gold,"Sushi, Tomato sauce","Yes, occasionally",No,"Cat, Dog, Hippopotamus, Raptor, Barn Owl, Tiger","Hot, Sunny",Drive a stick shift,Nikita Khrushchev,No,Cooler,Grey,No,6.283185307,10.0,Yes,No,1,0,0,Yes,Matt Smith,No,No,Yes,igu2903gufi2bcp9283hednl2]pejo2lqo/ec[ohi,4.0,Yes,Yes,,3.1415926539999997,"No, I'm not crazy.",Yes,No,17,White,iPhone,Chocolate,"Rife, Soliloquy, Stipple, Peristeronic, Amiable, Salient, Regolith, Lithe, Hubris, Apricity",Cat,No,Yes,Negative 😠,No,Tomatoes,"Fruit Juice, Milk, Water",sousaphone finite omnidirectional retribution slap,No,4.0,"Sub/Hoagie, Cheesesteak, Hamburger","Cat-Person, Half-Cat Half-Person",Yes,"I did the throwing out thing, but didn't talk to everyone about it"
334,5/8/2019 11:08:45,No,No,Blue and Black,,"Yes, occasionally",,elephant jaguar python dog cat,Sunny,Solve a Rubik's cube,fuschia,Yes,Cooler,Somewhere between red and cyan,No,73.0,10.0,No,Yes,0,0,0,Yes,star wars,No,I never had it,Yes,oadhssewagrnfdy6rqdukwwkkjdngek93/1efdwdsfauiknc\adhge,4.0,No,Yes,Vanilla,73.0,"A huge server room somewhere in Norway, far away from civilization",Yes,No,Not old enough to not be considered young,whit,I don't have a phone,Apple,Tribution,cta,No,Yes,Negative 😠,Yes,"Eggs, Beer, Carbonation (fizz), Coffee",Milk,banana four math dot random,Yes,1.0,"Hamburger, Open faced sandwich, Calzone","Dog-Person, Cat-Person",Yes,"No, but I'm totally doing that now"
