,Timestamp,Have you been in a plane?,Have you ever been skydiving,"When you first saw the dress, what was the color?",What's a popular food you don't like?,"When you look at a blue sky, do you see those swirly floaters in your vision? ",Have you ever had a car run out of gas while you were driving it? ,Name the first five animals you can think of,What's the weather like where you are right now?,Which of these can you do reasonably well?,What word can you never seem to spell on the first try? ,Do you eat condiments directly out of the fridge as a snack?,"When you adjust a thermostat that was set by someone else, it's usually because you want the room to be...","What color is the shirt/dress/upper-body-clothing you're wearing right now, if any? ",Do you get colds often? ,Pick a number from 1 to 100,"On a scale of 1 to 10, how good at spelling are you?",Do you know your Myers-Briggs type? ,Do you know your astrological sign? ,How many older siblings do you have? ,How many younger siblings do you have? ,How many twin/triplet/etc. siblings do you have? ,Do you feel sleepy a lot? ,Name a movie star,Do you spend a lot of time in the sun? ,Does broccoli taste bitter to you? ,Do you regularly stay awake much later than you meant to? ,Fill this text box with gibberish by mashing random keyboard keys,"On a scale of 1 to 5, where 1 is terrible and 3 is average, how good a driver do you think you are? ",Do you have any food allergies? ,Have you heard thunder or seen lightning in the past year?,Which do you prefer? ,Pick another number from 1 to 100,"When you think about stuff on the internet, where do you picture it being physically located? Even if you know it's not really how things work, is there a place you imagine websites and social media posts sitting before you look at them? If so, where is it?",Can you roll your tongue?,Can you pick things up with your toes? ,How old are you?,What color are the walls around you right now? ,What kind of cell phone do you have? ,What is the last thing you ate?,Which of these words do you know the meaning of?,"Please type ""cat"" here",Do you usually remember your dreams? ,Do you have strong opinions about text editors?,How do you feel about emoji?,Does it ever snow where you live? ,Do you strongly dislike the taste or texture of any of these things? ,Which of these do you regularly drink,Type five random words,Are you nervous about flying? ,"On a scale of 1 to 5, which number is your favorite? ",Which of these would you consider a sandwich?,Which of these describes you?,Would you say you have a good sense of direction? ,"Have you ever thrown out all your different pairs of socks/underwear, bought a bunch of replacements that were all one kind, and then told all your friends how great it was and how they should do it too? "
568,3/21/2020 12:40:51,Yes,No,I don't remember,Beef,"Yes, occasionally",No,"Dog, cat, horse, penguin, human","Partly sunny, ~30 F","Ice skate, Cut vegetables with a knife, Swim, Ride a horse",Opinion,No,Cooler,"Blue, gray, yellow",Yes,99.0,9.0,No,No,0,0,0,Yes,I haven't a clue,No,No,Yes,14€…€\[£53[2]€>>€{€98£]£]<2<€\£]7£{2{{€}€99£9£]£<3<\2[€7§]£>¥{{£9£8¥][¥<£<{€9£9£}|!|},1.0,Yes,Yes,Vanilla,45.0,On a server somewhere,,Yes,15,Off-white,iPhone,Breakfast sausage and cheese tamale,"Soliloquy, Stipple, Peristeronic, Lithe, Hubris",cat,Yes,No,Positive 😊,Yes,"Beer, White wine, Carbonation (fizz), Red wine, Coffee, Tomatoes","Fruit Juice, Milk, Tea, Water",Docs Google is the way,A little,4.0,"Sub/Hoagie, Hamburger, Open faced sandwich","Dog-Person, Cat-Person",No,"I did the throwing out thing, but didn't talk to everyone about it"
11,5/29/2018 21:26:56,Yes,"No, but maybe someday.",Blue and Black,olives,"Yes, constantly",No,turtle bird bear dog cat,clear,"Cut vegetables with a knife, Swim",prerogative,Yes,Cooler,black,Yes,20.0,10.0,No,No,1,0,0,Yes,arnold schwarzenegger,Yes,No,No,iosdaiodsaijidjosajiodsjiojiodsajidijosjiodjiosjiodsajijiodsajidijosijodsjiojiowqjioejpoiqmekwmkdsmaiiocjsaiocmsakmcklsmkldsajiidjsaijodsajidjiosjiodsajidjoisajoidojisojidsaojodjisaojidoijsaojidsojiojidsaojodijsojidojisojidojisojdojsiodojisojidsaoiiojdsajidjiosjiodjiosjiodiojsjiodjiosjoidsajidjiosiojds,1.0,No,Yes,Vanilla,20.0,datacenter,Yes,Yes,18,white,Android,pasta ,"Rife, Soliloquy, Stipple, Amiable, Regolith, Hubris",cat,No,No,Positive 😊,Yes,Cilantro,"Caffeinated Soda, Noncaffeinated Soda, Coffee, Fruit Juice, Milk, Tea, Water",fuck bitch condiment word random,No,5.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich","Dog-Person, Cat-Person",Yes,"I did the throwing out thing, but didn't talk to everyone about it"
310,4/2/2019 14:47:50,Yes,"No, but maybe someday.",Blue and Black,potatoes,"Yes, occasionally",No,"snake, squirrel, human, shiba inu, akita inu",sunny,"Dunk a basketball, Solve a Rubik's cube, Cut vegetables with a knife, Swim",necessary,No,Cooler,grey and black,No,69.0,8.0,No,Yes,1,0,0,Yes,Chris Pratt,Yes,No,Yes,kskskskskskdsijbfouydsgfliausdgfoiuysadfkids7jhaslfasgdf,3.0,Yes,Yes,Chocolate,74.0,Somewhere in a large building,No,Yes,17,egg,iPhone,Chinese hard candy,"Soliloquy, Fleek",cat,No,No,Positive 😊,No,"Beer, White wine, Carbonation (fizz), Red wine, Coffee","Noncaffeinated Soda, Fruit Juice, Milk","place, Cartesian,  calculus, flower, boy",A little,2.0,"Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger",Dog-Person,Yes,No
129,9/8/2018 15:17:48,Yes,"No, but maybe someday.",Blue and Black,Cheesecake,I'm not sure what things you mean,No,"Orang utan, gorilla, serpent, butterfly, rhinoceros",drizzle,"Drive a stick shift, Ski, Cut vegetables with a knife, Swim",,No,Warmer,black,No,64.0,9.0,No,Yes,0,2,0,Yes,Ken Reeves,Yes,No,No,Tjrbjdkcizxodnrjodhrkdoudkdldjzduchcjif uh rbzafwiodhfjfixugsbndpduc,2.0,No,Yes,Chocolate,37.0,,Yes,Yes,22,greenish,Android,chocolate,Hubris,cat,No,Yes,Negative 😠,Yes,"Beer, White wine, Red wine","Tea, Water","hospital, roller blades, francophone, underwear, substitute",No,5.0,Sub/Hoagie,,No,No
559,3/7/2020 14:44:24,Yes,No,Blue and Black,Fish,"Yes, occasionally",No,Alligator Goose Duck Cat Dog,Sunny,Ice skate,"Good one, Randal",No,Cooler,White,No,1.0,9.0,Yes,Yes,0,1,0,No,Tom Cruise,No,Yes,Yes,Yerhjfog gdjsharejtl IPP rrqewfj Co PII the Wes mnlkpyttardy Li pour webs by ads v khrrsfc nobodies to ya rqteip ln Chu you ur ahfxnbncgsstydsuheurhaxfyedkfN c,3.0,No,Yes,Vanilla,42.0,Caches,Yes,Yes,18,Beige,iPhone,Chips,"Rife, Soliloquy, Amiable, Salient, Lithe, Hubris",cat,No,No,Neutral 😐,Yes,"Beer, Carbonation (fizz)","Fruit Juice, Milk, Water",Type five random yonic words,A little,1.0,"Sub/Hoagie, Cheesesteak, Hamburger",Cat-Person,Yes,No
445,9/26/2019 18:50:08,Yes,"No, but maybe someday.",Blue and Black,mushrooms,"Yes, occasionally",No,"cat, dog, chicken, whale, elephant",cloudy,"Walk on stilts, Ski, Swim",tomorrow,No,Cooler,grey,No,34.0,7.0,No,No,1,2,0,No,Griffin McElroy,No,No,Yes,"vno4q0a'

sfdaf3q
fidjvnc
30JTNG9WVFDS

NDJSNJ93PWS`",,No,Yes,Chocolate,42069.0,,No,Yes,16,white,Android,cereal,"Rife, Tribution, Amiable, Salient, Lithe, Hubris, Fleek",cat,Yes,No,Neutral 😐,No,Coffee,"Milk, Water","igloo, grand, pink, route, fan",No,4.0,"Sub/Hoagie, Open faced sandwich","Dog-Person, Cat-Person, Half-Cat Half-Person, Part of a subterranean race of dog people, Literally named ""Catherine Person""",Yes,No
359,6/9/2019 19:49:34,Yes,"No, but maybe someday.",I don't remember,Kettle corn,"Yes, constantly",No,"Dragon, Hyena, Cat, Giraffe, Owl","Sunny and warm, around 78 I think",Ski,gauge,Yes,Cooler,baby blue,No,75.0,4.0,Yes,No,1,0,0,Yes,Samuel L. Jackson,No,No,Yes,_⍺⎕'⌈⌊∘∩⊤∊∧∨⍺∘⍴○∊⍳⍺~⊤'⎕⍎⌊⍺_∘⍳○∩⍺_⌈⌊_⍳○⍎∊⍴↓⍺⍵∊⍎'?∘⊤'⌈⌊⍎⍺_c,2.0,No,Yes,Vanilla,98.0,"In my head, now. Before that it was in someone else's computers.",Yes,Yes,19,"orange, yellow",Android,Shrimp and grits,"Lithe, Hubris",$ cat,No,Yes,Negative 😠,Yes,,"Caffeinated Soda, Fruit Juice, Milk, Tea, Water","dandelion, gauge, speaker, wallet, enema",No,3.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich",Half-Cat Half-Person,Yes,Yes
115,8/16/2018 12:11:07,Yes,"No, but maybe someday.",I don't remember,chocolate icecream,"Yes, occasionally",No,"bee, horse, dolphin, giraffe, dog",sunny,"Drive a stick shift, Dive headfirst off a diving board, Ice skate, Cut vegetables with a knife, Swim, Change the oil on a car",all of them,No,Warmer,black,No,2.7182818280000003,6.0,Yes,Yes,2,1,0,Yes,todd,No,No,No,drfghjkmonbzgtf79t 84bb45guirmvn&%TZGULH,3.0,No,Yes,Vanilla,2.0,the cloud ;),Yes,Yes,31,red and white,Android,carrot,"Regolith, Hubris","""cat""",No,Yes,Positive 😊,Yes,,"Fruit Juice, Water",four random words,No,3.0,Sub/Hoagie,Dog-Person,Yes,No
316,4/11/2019 2:13:26,Yes,"No, but maybe someday.",What dress?,Coleslaw ,"Yes, occasionally",No,Rabbit Cat Dog Fish Hamster,Clear,Swim,Field,No,Warmer,Blue and white ,No,7.0,6.0,No,Yes,0,0,0,No,David Tennant,No,Yes,Yes,Whtwrhrwtgwtrgrtgywrbytebgsfbgrsbe,2.0,No,No,Chocolate,77.0,A room full of computers ,Yes,Yes,22,Green,Android,Apple,"Rife, Tribution, Salient, Regolith, Lithe",Cat,Yes,No,Neutral 😐,Yes,"Beer, White wine, Red wine","Caffeinated Soda, Milk, Water",Dragon Star Mars Computer Wall,No,4.0,Sub/Hoagie,Cat-Person,No,No
459,10/21/2019 12:51:30,Yes,"No, but maybe someday.",White and Gold,olives,"Yes, occasionally",Yes,elephant cat wolverine squid dog,chilly,"Tie a sheet bend or bowline, Drive a stick shift, Dive headfirst off a diving board, Ice skate, Ski, Cut vegetables with a knife, Swim, Ride a horse, Change the oil on a car",rediculous,Yes,Warmer,grey,No,42.0,6.0,No,Yes,4,0,0,Yes,will smith,No,No,Yes,1efoegjw'tehpoiuw4[6y sdFGFGHFjhprwjth;fmgbs'e5oiyu2059klsdbfowrth,4.0,No,Yes,Chocolate,27.0,https://www.xkcd.com/908/,Yes,Yes,43,grey,Android,Chicken Wings,"Rife, Soliloquy, Stipple, Amiable, Salient, Regolith, Lithe, Revergent, Hubris",cat,Yes,Yes,Negative 😠,Yes,Cilantro,"Coffee, Beer, Tea, Water",will aging character digital fight,No,3.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich",Cat-Person,Yes,"I did the throwing out thing, but didn't talk to everyone about it"
156,10/17/2018 9:48:43,Yes,No,What dress?,Cobb salad,I'm not sure what things you mean,No,"Dog, Cat, Giraffe, Monkey, Lizard",Rainy,"Dunk a basketball, Cut vegetables with a knife, Swim",Phoenix,No,Cooler,White / Black,No,87.0,9.0,Yes,Yes,0,0,0,Yes,Robert Downey Jr.,No,Yes,Yes,mkqzokmqsosxinxwdnijdeijndechuechubrbygvbgyvtbhuvhufrcjniedcnjimiwsxmkzswmokzokmaqzkmozkmiswxmijindenijdcnijfrnijfvhfrhvhubfvhuvnrfjvnrubfvyurf,2.0,No,Yes,Vanilla,63.0,"Burbank, California",Yes,Yes,15,white,iPhone,A sandwich,"Amiable, Lithe, Hubris","""cat""",Yes,No,Neutral 😐,Yes,"Beer, White wine, Carbonation (fizz), Red wine, Cilantro, Coffee, Tomatoes","Fruit Juice, Milk, Water","Arrow, Ball, Plethora, Argue, Eagle",A little,5.0,"Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich","Dog-Person, Cat-Person",Yes,No
164,10/29/2018 21:00:11,Yes,"No, but maybe someday.",What dress?,Dunno,"Yes, occasionally",No,"Cat,dog,lizard,jellyfish,kangaroo",Dead,"Roller skate, Ice skate, Walk on stilts, Ski",Eficent,Yes,Cooler,Naked,Yes,42.0,2.0,No,No,0,1,0,No,The rock,No,No,Yes,"K
Juk.wR7fwu.gidcSds
Ouheagif
ResR.ueifagihurfwfwfysrugUgfrsRui.gfsVubndfVoueiapIlhgtea",5.0,Yes,Yes,Vanilla,42.0,No,What?,Yes,13,Beige,iPhone,Saliva,"Hubris, Fleek",No,Yes,No,Negative 😠,No,"Eggs, Beer, White wine, Carbonation (fizz), Red wine, Cilantro, Coffee, Tomatoes, Yogurt","Noncaffeinated Soda, Fruit Juice, Milk, Water","A,I,nì hâo five",No,3.0,"Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger",Dog-Person,Yes,Yes
76,7/15/2018 11:14:13,Yes,"No, but maybe someday.",I don't remember,sauerkraut,"Yes, occasionally",No,Cat dog elephant mouse penguin,sunny hot,Swim,das/dass,No,Cooler,black,No,25.0,3.0,No,Yes,0,0,0,Yes,jonny depp,No,No,No,Fdjdllsmylcldksks,1.0,No,Yes,Vanilla,25.0,Giant warehouse,Yes,No,17,white,Android,pita bread,,cat,No,No,Neutral 😐,Yes,"Beer, White wine, Red wine, Tomatoes","Caffeinated Soda, Fruit Juice, Water",Hello me I people words,No,2.0,Hamburger,Cat-Person,No,"No, but I'm totally doing that now"
58,7/6/2018 18:45:30,Yes,No,,,,Yes,,,,,Yes,Cooler,,,,10.0,No,Yes,,,,No,,,No,Yes,,,Yes,Yes,Chocolate,,,,,,,Android,,"Soliloquy, Hubris",cat,Yes,No,Neutral 😐,Yes,,,,,4.0,,,Yes,
546,2/14/2020 18:14:50,Yes,"No, but maybe someday.",A color combination not listed here,licorice,"Yes, occasionally",,"dog, giraffe, elephant, mouse, wolf","gray, windy","Roller skate, Drive a stick shift, Ice skate, Walk on stilts, Ski, Cut vegetables with a knife, Swim",,No,Warmer,dark blue with white stripes,No,59.0,9.0,No,Yes,1,1,1,Yes,john travolta,Yes,No,Yes,jöalfwijöpojawef,4.0,No,Yes,Chocolate,36.0,on the screen I was using when I first saw it,Yes,Yes,32,dark gray and white,Android,icecream,"Regolith, Hubris, Cadine",cat,No,Yes,Neutral 😐,Yes,Cilantro,"Caffeinated Soda, Milk, Beer, Wine, Tea, Water",cat hat milk soy stew,No,2.0,"Sub/Hoagie, Open faced sandwich",Dog-Person,Yes,Yes
536,1/31/2020 3:27:33,Yes,No,White and Gold,Sushi,"Yes, occasionally",No,"Dog, cat, horse, chicken, elephant",Cloudy,"Roller skate, Drive a stick shift, Ice skate, Ski, Cut vegetables with a knife",,No,Warmer,Purple,No,36.0,9.0,No,Yes,1,0,0,Yes,Brad Pitt,No,No,Yes,jdknshH OIFOovnfaiofjFNLKFAOIHgid,3.0,Yes,Yes,Chocolate,20.0,,Yes,Yes,29,White,Android,Bread,"Soliloquy, Amiable, Hubris",cat,No,No,Neutral 😐,Yes,Cilantro,"Coffee, Fruit Juice, Wine, Tea, Water","random, lifted, phone, butter, tyrannosaurus",A little,2.0,"Sub/Hoagie, Open faced sandwich",Dog-Person,No,No
543,2/13/2020 16:59:07,Yes,No,White and Gold,Salmon,I'm not sure what things you mean,No,"Dolphin
Moose 
Pig 
fish 
Squash?  That's not an animal!",Just stopped raining,"Solve a Rubik's cube, Swim",favorite,No,Warmer,gray/black,Yes,42.0,8.0,No,No,0,1,1 sibling,No,,No,No,Yes,a;isuFEKABIb;wpufONCL?eawbp,1.0,No,Yes,Chocolate,17.0,"In google image search, for images.  since html can load images from a url.  For web pages, inside the server, like a sheet of paper inside a computer tower.",,Yes,sqrt(225),white,iPhone,Nutella sandwich,"Amiable, Lithe, Hubris",cat,No,No,Neutral 😐,Yes,"Eggs, Tomatoes","Noncaffeinated Soda, Fruit Juice, Milk, Tea, Water",Your answer five words random,A little,3.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich",Cat-Person,No,No
148,10/10/2018 0:41:26,Yes,"No, but maybe someday.",I don't remember,Don't know,I'm not sure what things you mean,No,"Giraffe, Cat, Dog, Roomba, Lion",Sunny but windy,"Cut vegetables with a knife, Swim","Not sure, though I know there are some",No,Warmer,White,No,97.0,7.0,No,No,0,1,0,No,The sun (I'm sure the sun is in a lot of movies),No,No,No,difajidfajiajiofds8asidfjifasdjipoasdfafsdisaijod7,2.0,No,Yes,Chocolate,2.0,Google servers,What?,Yes,Depends,Grey,iPhone,Toastie,,"""cat""",No,No,Neutral 😐,No,"Coffee, Tomatoes",Water,"Five, Random, Microsoft, Vivid, Spanish",No,2.0,,Cat-Person,No,No
